"Oat flakes ""Hercules""",E,2
Lentils (grain),B1,1
Barley (grain),E,2
Peanut,E,11
Walnut,E,3
Dried acorns,B1,1
Pine nut,E,10
Cashew,E,6
Sesame,E,3
Almond,E,25
Sunflower seeds (seeds),E,31
Pistachios,E,3
Hazelnut,E,21
Apricot,C,10
Avocado,C,10
Quince,C,23
Cherry plum,C,13
A pineapple,C,20
Orange,C,60
Watermelon,C,7
Basil (herbs),C,18
Eggplant,C,5
Banana,B6,1
Borscht,C,5
Fresh cabbage and potato borscht,C,4
Lingonberry,C,15
Swede,C,30
Strawberry jam,C,8
Raspberry jam,C,7
Grapes,C,6
Cherry,C,15
Blueberry,C,20
Garnet,C,4
Grapefruit,C,45
Pear,C,5
Dried pear,C,8
Potato pancakes,C,13
Durian,C,20
Melon,C,20
Blackberry,C,15
Strawberry,C,60
Potato zrazy,C,3
Raisins,C,1
Ginger (root),C,5
Fresh figs,C,2
Dried figs,B2,1
Zucchini,C,15
White cabbage,C,45
Broccoli,B5,1
Brussels sprouts,C,100
Sauerkraut,C,30
Kohlrabi cabbage,C,50
Red cabbage,C,27
Cabbage,C,60
Savoy cabbage,C,5
Cauliflower,C,70
Boiled cauliflower,C,41
Fried cauliflower,C,29
Potatoes,C,20
Boiled potatoes,E,14
Fried potato,E,13
Dried potatoes,C,7
Stewed potatoes with mushrooms,E,5
Kiwi,C,180
Cilantro (greens),C,27
Cranberry,C,15
Cabbage cutlets,C,23
Potato cutlets,C,3
Watercress (greens),C,69
Gooseberry,C,30
Dried apricots,E,6
Lemon,C,40
Dandelion leaves (greens),C,35
Burdock (root),C,3
Fried onions,C,9
Green onion (feather),C,30
Pickled onions,C,8
Leek,C,35
Turnip onion,C,10
Bulb onions,C,10
Raspberries,C,25
Mango,C,36
Mandarin,C,38
Mary white (green),C,80
Carrot,A,2
Boiled carrots,A,2
Cloudberry,C,29
Seaweed,C,2
Nectarine,C,5
Sea buckthorn,C,200
Cucumber,C,10
Pickles,C,5
Vegetable okroshka,C,6
Pumpkin pancakes,C,2
Papaya,C,61
Fern,C,27
Parsnip (root),C,20
Sweet pepper (bulgarian),C,200
Pepper stuffed with vegetables,C,51
Peach,C,10
Dried peach,E,6
Parsley (greens),C,150
Parsley (root),C,35
Pomelo,C,61
Tomato (tomato),C,10
Mashed potatoes,C,4
Rhubarb (greens),C,10
Radish,C,25
Black radish,C,29
Turnip,C,20
Rowan red,C,70
Rowan chokeberry,C,15
Leaf lettuce (greens),C,35
Beet,C,10
Boiled beets,C,9
Beetroot stew,E,1
Cold beetroot,C,3
Celery (greens),C,38
Celery (root),C,8
Plum,C,10
White currant,C,40
Red currants,C,25
Black currant,C,200
Asparagus (greens),C,20
Tomato paste,C,45
Jerusalem artichoke,C,6
Pumpkin,C,8
Dill (greens),C,100
Dried apricots,E,6
Feijoa,C,33
Dates,B1,1
Horseradish (root),C,55
Persimmon,C,15
Sweet cherry,C,15
Blueberry,C,10
Prunes,C,3
Garlic,C,10
Rosehip,C,650
Cabbage schnitzel,C,11
Spinach,C,55
Sorrel,C,43
Apples,C,10
Champignon,C,7
Apricot juice,C,4
Orange juice,C,11
Lemon juice,C,50
Carrot juice,C,3
Tomato juice,C,10
Apple juice,C,2
Cocoa powder,C,2
Honey,B2,1
Сhocolate,B2,1
Chicken,B3,8
Beef,B3,6
Turkey,B3,8
Beef liver,B3,13
Salmon,B3,8
Ham,B3,3
White bread,B3,6
Pork,B3,8
Ground beef,B3,4
Chicken egg,B5,2
Paprika,E,30
Thyme,C,50
Iceberg lettuce,C,3
Olives,E,4
Couscous,B5,2
Fat herring,D,1
Keta,D,1
Mackerel,D,1
Atlantic salmon,D,1
Pink salmon,D,1
Tuna fich,D,1
Chanterelle mushrooms,D,1
Morek mushroom,D,1
Flounder,D,1
Pike,D,1
Quail egg,D,1
Butter,D,1
Pistachios,B5,1
Potato starch,C,4
Mackerel,B5,1
Peanut,B6,1
Mutton,B6,1
Chile,C,1
